Texto fonte - inglês,Tradução - português,Subprojecto
Ensure result set excludes posts assigned to specific authors.,Assegura que o conjunto de resultados exclui conteúdos atribuídos a autores específicos.,dev
Limit result set to posts assigned to specific authors.,Limita conjunto de resultados a conteúdos atribuídos a autores específicos.,dev
The terms assigned to the object in the %s taxonomy.,Os termos atribuídos ao objecto na taxonomia %s.,dev
The theme file to use to display the object.,O ficheiro do tema a usar para apresentar o objecto.,dev
A password to protect access to the content and excerpt.,Uma senha para proteger o acesso ao conteúdo e excerto.,dev
Whether or not the object should be treated as sticky.,Se o objecto deve ou não ser tratado como fixo.,dev
The format for the object.,O formato para o objecto.,dev
The order of the object in relation to other object of its type.,A ordem do objecto em relação a outro objecto do mesmo tipo.,dev
Whether or not the object can be pinged.,Se o objecto pode ou não ser receber pings.,dev
Whether or not comments are open on the object.,Se os comentários ao objecto devem ou não estar abertos.,dev
The ID of the featured media for the object.,O ID do item multimédia de destaque para o objecto.,dev
Whether the excerpt is protected with a password.,Se o excerto deve ou não ser protegido com uma senha.,dev
"HTML excerpt for the object, transformed for display.","Excerto HTML para o objecto, transformado para exibição.",dev
"Excerpt for the object, as it exists in the database.","Excerto para o objecto, tal como existe na base de dados.",dev
The excerpt for the object.,O excerto para o objecto.,dev
The ID for the author of the object.,O ID para o autor do objecto.,dev
Whether the content is protected with a password.,Se o conteúdo está ou não protegido com uma senha.,dev
"HTML title for the object, transformed for display.","Título HTML para o objecto, transformado para exibição.",dev
"Title for the object, as it exists in the database.","Título para o objecto, tal como existe na base de dados.",dev
The title for the object.,O título para o objecto.,dev
Type of Post for the object.,Tipo de conteúdo para o objecto.,dev
A named status for the object.,O nome do estado para o objecto.,dev
An alphanumeric identifier for the object unique to its type.,"Um identificador alfanumérico para o objecto, único para seu tipo. ",dev
"The date the object was last modified, as GMT.","A data da última modificação do objecto, em GMT.",dev
"The date the object was last modified, in the site's timezone.","A data da última modificação do objecto, no fuso horário do site.",dev
"GUID for the object, transformed for display.","GUID para o objecto, transformado para exibição.",dev
"GUID for the object, as it exists in the database.","GUID para o objecto, tal como existe na base de dados.",dev
The globally unique identifier for the object.,O identificador global único para o objecto.,dev
"The date the object was published, as GMT.","A data de publicação do objecto, em GMT.",dev
"The date the object was published, in the site's timezone.","A data de publicação do objecto, no fuso horário do site.",dev
Invalid featured media ID.,O ID de item multimédia de destaque é inválido.,dev
Invalid post parent ID.,O ID do superior do conteúdo é inválido.,dev
A password protected post can not be set to sticky.,Um artigo protegido por senha não pode ser fixo.,dev
A sticky post can not be password protected.,Um artigo fixo não pode ser protegido por senha.,dev
A post can not be sticky and have a password.,Um artigo não pode ser fixo e protegido por senha.,dev
The post has already been deleted.,O conteúdo já foi eliminado.,dev
"Sorry, you are not allowed to edit comments.",Não tem permissão para editar comentários.,dev
Cannot create existing post.,Não é possível criar conteúdo existente.,dev
"Sorry, you are not allowed to create new users.",Não têm permissão para criar novos utilizadores.,dev
Incorrect post password.,Senha do conteúdo incorrecta.,dev
You need to define a search term to order by relevance.,Tem de definir um termo de pesquisa para ordenar por relevância.,dev
The password for the post if it is password protected.,"A senha para o conteúdo, se este for protegido por senha.",dev
Human-readable labels for the taxonomy for various contexts.,Legendas legíveis por humanos para a taxonomia em vários contextos.,dev
Whether or not the taxonomy should have children.,Se o a taxonomia deverá ou não ter dependentes.,dev
A human-readable description of the taxonomy.,Uma descrição legível por humanos para a taxonomia.,dev
All capabilities used by the taxonomy.,Todas as capacidades usadas pela taxonomia.,dev
An alphanumeric identifier for the user.,Um identificador alfanumérico para o utilizador.,dev
Whether to include posts in the edit listing for their post type.,Se os conteúdos serão incluídos na listagem de edição dos respectivos tipos de conteúdo.,dev
Whether posts with this status should be publicly-queryable.,Se os conteúdos com este estado deverão ser consultados publicamente.,dev
Whether posts of this status should be shown in the front end of the site.,Se os artigos deste estado deverão ser mostrados na frente do site.,dev
Whether posts with this status should be protected.,Se os artigos com este estado deverão ser protegidos.,dev
Whether posts with this status should be private.,Se os artigos com este estado deverão ser privados.,dev
Scope under which the request is made; determines fields present in response.,Âmbito do pedido que é feito; determina os campos presentes na resposta.,dev
Limit results to those matching a string.,Limita resultados aos que corresponderem a uma string.,dev
Maximum number of items to be returned in result set.,Número máximo de itens devolvidos no conjunto de resultados.,dev
Current page of the collection.,Página actual da colecção.,dev
Method '%s' not implemented. Must be overridden in subclass.,Método '%s' não implementado. Deve ser redefinido na subclasse.,dev
The register_routes() method must be overridden,O método register_routes() tem que ser substituído,dev
Limit result set to comments assigned a specific type. Requires authorization.,Limita conjunto de resultados a comentários com um tipo específico atribuído. Requer autorização.,dev
Limit result set to comments assigned a specific status. Requires authorization.,Limita conjunto de resultados a comentários com um estado específico atribuído. Requer autorização.,dev
Limit result set to comments assigned to specific post IDs.,Limita conjunto de resultados a comentários atribuídos a IDs de conteúdos específicos.,dev
Ensure result set excludes specific parent IDs.,Assegura que o conjunto de resultados exclui superiores com IDs específicos.,dev
Limit result set to comments of specific parent IDs.,Limita conjunto de resultados a comentários de superiores com IDs específicos.,dev
Sort collection by object attribute.,Ordenar colecção por atributo de objecto.,dev
Order sort attribute ascending or descending.,Ordem ascendente ou descendente para o atributo de ordenação.,dev
Limit result set to specific IDs.,Limita conjunto de resultados a IDs específicos.,dev
Ensure result set excludes specific IDs.,Assegura que o conjunto de resultados exclui IDs específicos.,dev
Limit response to posts published before a given ISO8601 compliant date.,Limita resposta a artigos publicados até uma data especificada em ISO8601.,dev
Limit result set to that from a specific author email. Requires authorization.,Limita conjunto de resultados a um email específico de autor. Requer autorização.,dev
Ensure result set excludes comments assigned to specific user IDs. Requires authorization.,Assegura que o conjunto de resultados exclui comentários atribuídos a utilizadores com IDs específicos. Requer autorização.,dev
Limit result set to comments assigned to specific user IDs. Requires authorization.,Limita conjunto de resultados a comentários atribuídos a IDs de utilizadores específicos. Requer autorização.,dev
Limit response to posts published after a given ISO8601 compliant date.,Limita resposta a artigos publicados depois de uma data especificada em ISO8601.,dev
Avatar URLs for the object author.,Os URL de Avatar para o autor do objecto.,dev
Avatar URL with image size of %d pixels.,URL do avatar com imagem de %d pixeis.,dev
Type of Comment for the object.,Tipo de comentário para o objecto.,dev
State of the object.,Estado do objecto.,dev
The ID of the associated post object.,O ID do objecto de conteúdo associado.,dev
The ID for the parent of the object.,O ID para o superior do objecto.,dev
URL to the object.,URL para o objecto.,dev
"HTML content for the object, transformed for display.","Conteúdo HTML para o objecto, transformado para exibição.",dev
"Content for the object, as it exists in the database.","Conteúdo para o objecto, tal como este existe na base de dados.",dev
The content for the object.,O conteúdo do objecto.,dev
User agent for the object author.,Agente de utilizador para o autor do objecto.,dev
URL for the object author.,URL para o autor do objecto.,dev
Display name for the object author.,Nome a mostrar para o autor do objecto.,dev
IP address for the object author.,Endereço de IP para o autor do objecto.,dev
Email address for the object author.,Endereço de email do autor do objecto.,dev
"The ID of the user object, if author was a user.","O ID do objecto do utilizador, caso o autor tenha sido um utilizador.",dev
Unique identifier for the object.,Identificador único para o objecto.,dev
Invalid comment author ID.,O ID de autor do comentário é inválido.,dev
The comment cannot be deleted.,Não é possível eliminar o comentário.,dev
The comment has already been trashed.,O comentário já foi movido para o lixo.,dev
Updating comment failed.,Falhou ao actualizar o comentário.,dev
Updating comment status failed.,Falhou ao actualizar o estado do comentário.,dev
Creating comment failed.,Falhou ao criar o comentário.,dev
Creating a comment requires valid author name and email values.,Para criar um comentário é necessário um autor com nome e email válidos.,dev
Cannot create existing comment.,Não é possível criar comentário existente.,dev
